Equipment = {
[10001] = { id = 10001, name = '武器Lv.1', type = 1, description = '伤害增加30-50', professional = 0, sex = 0, superposition = 0, hp = 0, damage_min = 30, damage_max = 50, defense = 0, attack_speed = 0, life_back = 0, energy_max = 0, lucky = 0, curse = 0, move = 0, wound_deeper = 0, damage_reduction = 0, skills_cd = 0,  },
[10002] = { id = 10002, name = '武器Lv.2', type = 1, description = '伤害增加50-70', professional = 0, sex = 0, superposition = 0, hp = 0, damage_min = 50, damage_max = 70, defense = 0, attack_speed = 0, life_back = 0, energy_max = 0, lucky = 0, curse = 0, move = 0, wound_deeper = 0, damage_reduction = 0, skills_cd = 0,  },
[10003] = { id = 10003, name = '武器Lv.3', type = 1, description = '伤害增加70-90', professional = 0, sex = 0, superposition = 0, hp = 0, damage_min = 70, damage_max = 90, defense = 0, attack_speed = 0, life_back = 0, energy_max = 0, lucky = 0, curse = 0, move = 0, wound_deeper = 0, damage_reduction = 0, skills_cd = 0,  },
[20001] = { id = 20001, name = '生命护甲Lv.1', type = 2, description = '生命增加50', professional = 0, sex = 0, superposition = 0, hp = 50, damage_min = 0, damage_max = 0, defense = 0, attack_speed = 0, life_back = 0, energy_max = 0, lucky = 0, curse = 0, move = 0, wound_deeper = 0, damage_reduction = 0, skills_cd = 0,  },
[20002] = { id = 20002, name = '生命护甲Lv.2', type = 2, description = '生命增加70', professional = 0, sex = 0, superposition = 0, hp = 70, damage_min = 0, damage_max = 0, defense = 0, attack_speed = 0, life_back = 0, energy_max = 0, lucky = 0, curse = 0, move = 0, wound_deeper = 0, damage_reduction = 0, skills_cd = 0,  },
[20003] = { id = 20003, name = '生命护甲Lv.3', type = 2, description = '生命增加100', professional = 0, sex = 0, superposition = 0, hp = 100, damage_min = 0, damage_max = 0, defense = 0, attack_speed = 0, life_back = 0, energy_max = 0, lucky = 0, curse = 0, move = 0, wound_deeper = 0, damage_reduction = 0, skills_cd = 0,  },
[20004] = { id = 20004, name = '防御护甲Lv.1', type = 2, description = '防御增加20', professional = 0, sex = 0, superposition = 0, hp = 0, damage_min = 0, damage_max = 0, defense = 20, attack_speed = 0, life_back = 0, energy_max = 0, lucky = 0, curse = 0, move = 0, wound_deeper = 0, damage_reduction = 0, skills_cd = 0,  },
[20005] = { id = 20005, name = '防御护甲Lv.2', type = 2, description = '防御增加35', professional = 0, sex = 0, superposition = 0, hp = 0, damage_min = 0, damage_max = 0, defense = 35, attack_speed = 0, life_back = 0, energy_max = 0, lucky = 0, curse = 0, move = 0, wound_deeper = 0, damage_reduction = 0, skills_cd = 0,  },
[20006] = { id = 20006, name = '防御护甲Lv.3', type = 2, description = '防御增加50', professional = 0, sex = 0, superposition = 0, hp = 0, damage_min = 0, damage_max = 0, defense = 50, attack_speed = 0, life_back = 0, energy_max = 0, lucky = 0, curse = 0, move = 0, wound_deeper = 0, damage_reduction = 0, skills_cd = 0,  },
[30001] = { id = 30001, name = '项链Lv.1', type = 3, description = '基础技能冷却减少10%', professional = 0, sex = 0, superposition = 0, hp = 0, damage_min = 0, damage_max = 0, defense = 0, attack_speed = 0, life_back = 0, energy_max = 0, lucky = 0, curse = 0, move = 0, wound_deeper = 0, damage_reduction = 0, skills_cd = 10,  },
[30002] = { id = 30002, name = '项链Lv.2', type = 3, description = '基础技能冷却减少30%', professional = 0, sex = 0, superposition = 0, hp = 0, damage_min = 0, damage_max = 0, defense = 0, attack_speed = 0, life_back = 0, energy_max = 0, lucky = 0, curse = 0, move = 0, wound_deeper = 0, damage_reduction = 0, skills_cd = 30,  },
